응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,A1_점검항목반영,A2_결과통보명확,A3_개선지원충분,A4_내년강화항목,A5_바라는점
1,2026-03-26 10:08:00,화방남해노인통합지원센터,3,4,화방남해노인통합지원센터,1,5,2,2,1,1,3,5,4,실무 매뉴얼 보완이 필요합니다.
2,2026-10-17 17:32:00,김해시종합사회복지관,5,4,김해시종합사회복지관,3,2,3,5,3,2,2,5,4,현장 의견 반영이 더 필요합니다.
3,2026-03-07 09:17:00,김해시종합사회복지관,3,2,김해시종합사회복지관,4,1,5,5,3,1,4,1,3,담당자 응대가 친절하고 도움이 되었습니다.
4,2026-06-28 10:01:00,김해시종합사회복지관,2,2,김해시종합사회복지관,5,3,1,1,3,2,4,3,5,교육 주제가 다양해졌으면 합니다.
5,2026-06-01 15:30:00,경남하동지역자활센터,1,2,경남하동지역자활센터,5,4,1,5,1,2,4,1,2,담당자 응대가 친절하고 도움이 되었습니다.
6,2026-06-06 10:55:00,산청해민노인통합지원센터,4,4,산청해민노인통합지원센터,4,2,1,1,5,1,1,1,4,현장 방문 횟수가 늘어나면 좋겠습니다.
7,2026-05-06 09:07:00,우리들노인통합지원센터,5,1,우리들노인통합지원센터,4,2,3,5,4,2,2,5,2,현장 의견 반영이 더 필요합니다.
8,2026-06-14 15:21:00,화방재가복지센터,2,1,화방재가복지센터,2,4,3,5,1,2,3,2,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
9,2026-07-01 17:43:00,화방재가복지센터,4,2,화방재가복지센터,3,1,5,3,2,2,5,3,4,담당자 응대가 친절하고 도움이 되었습니다.
10,2026-06-23 14:22:00,거제사랑노인복지센터,4,1,거제사랑노인복지센터,1,2,5,5,3,2,5,4,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
11,2026-10-04 11:17:00,창녕지역자활센터,2,4,창녕지역자활센터,3,5,3,5,3,4,3,2,2,현장 의견 반영이 더 필요합니다.
12,2026-04-24 11:01:00,남양양로원,2,4,남양양로원,1,4,1,3,5,2,4,2,5,온라인 교육 병행을 희망합니다.
13,2026-07-02 11:38:00,남양양로원,5,1,남양양로원,4,1,4,4,5,1,4,2,2,담당자 응대가 친절하고 도움이 되었습니다.
14,2026-11-21 10:21:00,밀양시자원봉사단체협의회,3,3,밀양시자원봉사단체협의회,2,1,2,3,1,2,1,1,1,실무 매뉴얼 보완이 필요합니다.
15,2026-08-13 16:36:00,밀양시자원봉사단체협의회,4,3,밀양시자원봉사단체협의회,4,3,5,1,3,4,5,3,3,행정 절차 간소화가 필요합니다.
16,2026-05-08 13:30:00,통영노인통합지원센터,1,2,통영노인통합지원센터,3,4,4,1,1,1,5,1,1,종사자 처우 개선이 시급합니다.
17,2026-04-02 12:01:00,통영노인통합지원센터,4,2,통영노인통합지원센터,1,4,4,3,1,4,2,4,5,현장 의견 반영이 더 필요합니다.
18,2026-03-17 10:51:00,합천노인통합지원센터,3,4,합천노인통합지원센터,1,2,5,1,1,3,1,4,1,교육 주제가 다양해졌으면 합니다.
19,2026-11-02 15:28:00,합천노인통합지원센터,1,2,합천노인통합지원센터,1,4,2,3,1,1,3,3,5,행정 절차 간소화가 필요합니다.
20,2026-10-10 12:51:00,합천노인통합지원센터,4,2,합천노인통합지원센터,1,2,1,1,5,4,2,3,5,종사자 처우 개선이 시급합니다.
21,2026-08-15 15:45:00,진양노인통합지원센터,4,3,진양노인통합지원센터,4,1,2,1,5,1,3,2,2,실무 매뉴얼 보완이 필요합니다.
22,2026-09-06 16:59:00,진양노인통합지원센터,3,4,진양노인통합지원센터,4,4,2,1,3,5,1,5,2,담당자 응대가 친절하고 도움이 되었습니다.
23,2026-10-01 09:03:00,진양노인통합지원센터,3,4,진양노인통합지원센터,4,4,1,3,3,5,1,1,1,현장 의견 반영이 더 필요합니다.
24,2026-10-22 16:07:00,창원도우누리노인통합재가센터,3,1,창원도우누리노인통합재가센터,1,3,5,2,5,5,1,5,3,실무 매뉴얼 보완이 필요합니다.
