응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,B3-1_소진회복도움,B3-2_운영방식편리,B3-3_필요프로그램,B3-4_자조모임의향,B3-5_바라는점
1,2026-05-09 17:53:00,산청복음노인통합지원센터,3,3,산청복음노인통합지원센터,5,1,2,1,5,5,5,5,2,현장 의견 반영이 더 필요합니다.
2,2026-08-16 13:42:00,산청복음노인통합지원센터,5,2,산청복음노인통합지원센터,5,5,4,3,1,5,3,4,2,현장 의견 반영이 더 필요합니다.
3,2026-05-15 14:58:00,산청복음노인통합지원센터,1,1,산청복음노인통합지원센터,1,2,1,3,4,4,1,5,3,교육 주제가 다양해졌으면 합니다.
4,2026-08-13 13:06:00,우리들노인통합지원센터,5,3,우리들노인통합지원센터,5,2,4,5,3,4,4,5,1,종사자 처우 개선이 시급합니다.
5,2026-03-21 10:33:00,통영노인통합지원센터,4,2,통영노인통합지원센터,4,1,1,1,2,4,3,1,1,교육 주제가 다양해졌으면 합니다.
6,2026-07-10 13:16:00,통영노인통합지원센터,2,1,통영노인통합지원센터,4,4,3,3,4,5,4,3,2,행정 절차 간소화가 필요합니다.
7,2026-09-05 11:07:00,창녕군새누리노인종합센터,3,3,창녕군새누리노인종합센터,5,5,4,4,2,3,4,2,2,담당자 응대가 친절하고 도움이 되었습니다.
8,2026-03-11 12:13:00,공덕의집노인통합지원센터,3,4,공덕의집노인통합지원센터,1,3,4,3,4,4,3,5,3,지속적인 지원을 부탁드립니다.
9,2026-06-20 15:20:00,거제사랑노인복지센터,2,1,거제사랑노인복지센터,2,5,2,3,1,4,1,2,3,지속적인 지원을 부탁드립니다.
10,2026-08-07 10:10:00,거제사랑노인복지센터,5,1,거제사랑노인복지센터,1,2,4,2,2,1,1,4,2,담당자 응대가 친절하고 도움이 되었습니다.
11,2026-10-16 11:27:00,밀양시자원봉사단체협의회,3,2,밀양시자원봉사단체협의회,5,3,5,3,3,5,3,2,2,실무 매뉴얼 보완이 필요합니다.
12,2026-07-06 14:08:00,밀양시자원봉사단체협의회,3,1,밀양시자원봉사단체협의회,4,1,5,3,4,3,5,1,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
13,2026-03-11 09:33:00,밀양시자원봉사단체협의회,1,3,밀양시자원봉사단체협의회,3,5,1,3,4,4,3,3,4,교육 주제가 다양해졌으면 합니다.
14,2026-06-12 11:19:00,코끼리행복복지센터,4,3,코끼리행복복지센터,1,4,1,3,5,3,5,4,2,행정 절차 간소화가 필요합니다.
15,2026-07-28 12:02:00,코끼리행복복지센터,3,2,코끼리행복복지센터,4,5,5,1,2,2,1,5,2,현장 방문 횟수가 늘어나면 좋겠습니다.
16,2026-04-23 12:15:00,사천노인통합지원센터,5,2,사천노인통합지원센터,4,1,5,4,5,5,2,5,1,지속적인 지원을 부탁드립니다.
17,2026-10-18 16:12:00,거제노인통합지원센터,1,3,거제노인통합지원센터,5,4,2,3,1,3,2,1,4,행정 절차 간소화가 필요합니다.
18,2026-08-27 12:59:00,동진노인통합지원센터,3,2,동진노인통합지원센터,4,5,1,1,5,5,1,3,4,온라인 교육 병행을 희망합니다.
19,2026-06-10 13:55:00,동진노인통합지원센터,4,4,동진노인통합지원센터,1,4,4,4,2,5,4,5,1,행정 절차 간소화가 필요합니다.
20,2026-06-27 15:08:00,김해시종합사회복지관,5,3,김해시종합사회복지관,4,4,3,3,1,5,5,5,1,현장 의견 반영이 더 필요합니다.
21,2026-03-18 17:21:00,경남노인통합지원센터,4,2,경남노인통합지원센터,5,1,5,2,3,2,1,1,4,종사자 처우 개선이 시급합니다.
22,2026-07-06 13:24:00,명진노인통합지원센터,3,3,명진노인통합지원센터,5,5,4,5,3,4,2,5,3,온라인 교육 병행을 희망합니다.
23,2026-08-21 14:48:00,명진노인통합지원센터,5,2,명진노인통합지원센터,5,1,5,1,2,2,1,4,4,종사자 처우 개선이 시급합니다.
24,2026-04-27 11:19:00,진주노인통합지원센터,5,2,진주노인통합지원센터,5,4,1,4,1,3,5,5,3,행정 절차 간소화가 필요합니다.
25,2026-08-26 10:50:00,진주노인통합지원센터,3,2,진주노인통합지원센터,4,4,2,5,4,5,1,1,2,교육 주제가 다양해졌으면 합니다.
26,2026-03-07 17:32:00,진주노인통합지원센터,3,4,진주노인통합지원센터,5,1,1,5,2,5,4,5,1,행정 절차 간소화가 필요합니다.
27,2026-03-27 09:47:00,산청해민노인통합지원센터,5,2,산청해민노인통합지원센터,1,4,4,5,1,3,3,2,4,현장 방문 횟수가 늘어나면 좋겠습니다.
28,2026-06-08 14:05:00,산청해민노인통합지원센터,3,1,산청해민노인통합지원센터,4,1,3,2,2,4,1,1,1,실무 매뉴얼 보완이 필요합니다.
29,2026-04-01 12:54:00,합천노인통합지원센터,5,2,합천노인통합지원센터,5,4,3,2,3,3,1,2,4,현장 의견 반영이 더 필요합니다.
30,2026-03-23 17:20:00,하동노인통합지원센터,5,1,하동노인통합지원센터,5,1,1,3,3,1,2,3,2,온라인 교육 병행을 희망합니다.
31,2026-06-13 10:57:00,하동노인통합지원센터,3,4,하동노인통합지원센터,2,4,4,2,4,1,2,3,4,실무 매뉴얼 보완이 필요합니다.
32,2026-06-07 14:15:00,하동노인통합지원센터,5,1,하동노인통합지원센터,1,3,5,3,4,1,3,3,4,교육 주제가 다양해졌으면 합니다.
33,2026-08-28 15:52:00,마산회원노인종합복지관,4,2,마산회원노인종합복지관,5,4,5,2,3,3,1,1,4,행정 절차 간소화가 필요합니다.
34,2026-09-22 09:42:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,2,대한노인회 고성군지회(노인맞춤돌봄서비스),4,4,2,4,1,2,5,5,4,현장 방문 횟수가 늘어나면 좋겠습니다.
35,2026-03-11 12:18:00,하청교회 행복늘푸른대학,2,1,하청교회 행복늘푸른대학,4,3,3,1,4,1,1,1,4,지속적인 지원을 부탁드립니다.
36,2026-06-11 17:55:00,하청교회 행복늘푸른대학,3,4,하청교회 행복늘푸른대학,3,1,3,1,1,2,5,5,1,담당자 응대가 친절하고 도움이 되었습니다.
37,2026-06-01 13:09:00,진해노인종합복지관,4,4,진해노인종합복지관,2,4,2,5,1,3,3,3,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
38,2026-11-25 12:37:00,진해노인종합복지관,3,2,진해노인종합복지관,1,5,4,5,1,4,4,4,3,실무 매뉴얼 보완이 필요합니다.
39,2026-03-19 11:11:00,정현사회적협동조합,5,3,정현사회적협동조합,5,5,4,3,3,3,1,2,3,종사자 처우 개선이 시급합니다.
