응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,B4-1_정서회복도움,B4-2_운영방식편리,B4-3_필요프로그램,B4-4_폭언폭행지원충분,B4-5_바라는점
1,2026-03-12 14:00:00,밀양노인통합지원센터,2,2,밀양노인통합지원센터,1,1,1,1,5,5,4,2,3,현장 방문 횟수가 늘어나면 좋겠습니다.
2,2026-06-19 10:39:00,양산행복한돌봄 사회적협동조합,1,1,양산행복한돌봄 사회적협동조합,5,5,5,5,1,1,3,1,4,현장 의견 반영이 더 필요합니다.
3,2026-03-19 10:24:00,양산행복한돌봄 사회적협동조합,5,2,양산행복한돌봄 사회적협동조합,2,2,4,2,4,5,5,5,4,실무 매뉴얼 보완이 필요합니다.
4,2026-09-01 17:50:00,하청교회 행복늘푸른대학,3,3,하청교회 행복늘푸른대학,5,1,5,4,4,3,4,2,1,현장 의견 반영이 더 필요합니다.
5,2026-11-09 12:15:00,진주노인통합지원센터,4,1,진주노인통합지원센터,1,2,4,1,1,5,1,3,1,실무 매뉴얼 보완이 필요합니다.
6,2026-07-11 17:09:00,김해시종합사회복지관,5,3,김해시종합사회복지관,2,1,2,3,1,1,3,2,3,교육 주제가 다양해졌으면 합니다.
7,2026-07-14 15:01:00,김해시종합사회복지관,4,3,김해시종합사회복지관,4,5,5,5,3,3,5,3,4,현장 방문 횟수가 늘어나면 좋겠습니다.
8,2026-05-23 09:06:00,대한노인회 고성군지회(노인맞춤돌봄서비스),1,2,대한노인회 고성군지회(노인맞춤돌봄서비스),3,1,2,5,1,5,2,2,2,종사자 처우 개선이 시급합니다.
9,2026-10-20 13:00:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,4,대한노인회 고성군지회(노인맞춤돌봄서비스),2,1,5,3,5,1,4,3,3,담당자 응대가 친절하고 도움이 되었습니다.
10,2026-06-26 14:40:00,화방남해노인통합지원센터,2,4,화방남해노인통합지원센터,3,2,2,3,4,1,1,3,1,담당자 응대가 친절하고 도움이 되었습니다.
11,2026-04-25 17:08:00,화방남해노인통합지원센터,5,3,화방남해노인통합지원센터,1,5,1,4,1,2,3,3,5,현장 의견 반영이 더 필요합니다.
12,2026-09-04 09:03:00,창녕지역자활센터,4,2,창녕지역자활센터,2,1,3,4,4,1,1,1,2,종사자 처우 개선이 시급합니다.
13,2026-06-17 11:29:00,창녕지역자활센터,1,1,창녕지역자활센터,1,2,2,2,5,4,1,3,1,담당자 응대가 친절하고 도움이 되었습니다.
14,2026-07-18 14:00:00,나누리노인통합지원센터,4,4,나누리노인통합지원센터,4,3,2,3,3,4,1,3,2,담당자 응대가 친절하고 도움이 되었습니다.
