응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,C-1_안건도움,C-2_사례공유충분,C-3_현장방식편리,C-4_내년주제(복수),C-5_바라는점
1,2026-04-20 17:55:00,사회복지법인신생원양산재가노인복지센터,2,2,사회복지법인신생원양산재가노인복지센터,3,5,3,5,1,2,1,1,1;4,실무 매뉴얼 보완이 필요합니다.
2,2026-04-27 09:20:00,사회복지법인신생원양산재가노인복지센터,2,1,사회복지법인신생원양산재가노인복지센터,2,1,3,1,4,4,3,5,3;6,현장 방문 횟수가 늘어나면 좋겠습니다.
3,2026-06-08 14:14:00,사회복지법인신생원양산재가노인복지센터,3,1,사회복지법인신생원양산재가노인복지센터,1,1,3,1,1,3,4,4,2;4,종사자 처우 개선이 시급합니다.
4,2026-09-28 10:20:00,창원도우누리노인통합재가센터,4,2,창원도우누리노인통합재가센터,5,3,3,1,2,5,1,4,1;3,담당자 응대가 친절하고 도움이 되었습니다.
5,2026-06-19 14:48:00,창원도우누리노인통합재가센터,5,4,창원도우누리노인통합재가센터,5,1,3,3,3,2,4,1,2;4;5,교육 주제가 다양해졌으면 합니다.
6,2026-09-01 11:18:00,창원도우누리노인통합재가센터,3,4,창원도우누리노인통합재가센터,3,3,4,4,4,2,1,3,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
7,2026-10-07 09:52:00,진해서부노인종합복지관,5,4,진해서부노인종합복지관,1,3,4,3,4,5,2,4,1;2;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
8,2026-08-10 12:33:00,대한노인회 고성군지회(노인맞춤돌봄서비스),1,2,대한노인회 고성군지회(노인맞춤돌봄서비스),4,3,1,3,5,3,4,2,1;2,실무 매뉴얼 보완이 필요합니다.
9,2026-05-11 13:49:00,대한노인회 고성군지회(노인맞춤돌봄서비스),4,4,대한노인회 고성군지회(노인맞춤돌봄서비스),2,4,2,5,5,3,1,4,3;4,담당자 응대가 친절하고 도움이 되었습니다.
10,2026-10-21 15:43:00,화방재가복지센터,2,2,화방재가복지센터,4,1,2,3,2,5,4,4,2;6,지속적인 지원을 부탁드립니다.
11,2026-05-07 17:27:00,창녕지역자활센터,5,4,창녕지역자활센터,5,1,4,1,3,5,5,4,2;5;6,현장 의견 반영이 더 필요합니다.
12,2026-08-25 14:49:00,창녕지역자활센터,2,3,창녕지역자활센터,1,3,1,5,5,2,4,2,1;3;4,실무 매뉴얼 보완이 필요합니다.
13,2026-10-14 13:49:00,창녕지역자활센터,1,3,창녕지역자활센터,2,3,4,4,1,4,5,5,3;4,지속적인 지원을 부탁드립니다.
14,2026-05-14 10:37:00,산청한일노인통합지원센터,1,2,산청한일노인통합지원센터,5,3,2,2,4,2,4,2,2;6,담당자 응대가 친절하고 도움이 되었습니다.
15,2026-03-23 11:11:00,산청한일노인통합지원센터,2,4,산청한일노인통합지원센터,1,1,1,4,3,4,4,5,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
16,2026-05-02 13:10:00,합천노인통합지원센터,5,3,합천노인통합지원센터,1,3,3,5,4,5,5,2,3,담당자 응대가 친절하고 도움이 되었습니다.
17,2026-04-27 15:37:00,합천노인통합지원센터,1,2,합천노인통합지원센터,5,2,2,1,2,4,5,5,1,행정 절차 간소화가 필요합니다.
