응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D1-1_응대속도,D1-2_문제해결도움,D1-3_지원받은분야,D1-4_내년필요분야(복수),D1-5_바라는점
1,2026-03-04 13:22:00,보현행원노인통합지원센터,5,4,보현행원노인통합지원센터,4,1,4,5,2,1,5,3,1;2;4,지속적인 지원을 부탁드립니다.
2,2026-07-20 17:10:00,보현행원노인통합지원센터,3,2,보현행원노인통합지원센터,5,5,3,2,1,2,1,4,1;4;5,온라인 교육 병행을 희망합니다.
3,2026-11-28 09:24:00,보현행원노인통합지원센터,4,3,보현행원노인통합지원센터,2,1,3,5,5,1,1,4,2;3;5,종사자 처우 개선이 시급합니다.
4,2026-08-01 12:28:00,경남하동지역자활센터,1,1,경남하동지역자활센터,4,1,5,2,4,3,1,4,2,현장 의견 반영이 더 필요합니다.
5,2026-11-02 17:40:00,창녕군새누리노인종합센터,1,4,창녕군새누리노인종합센터,2,4,2,5,2,5,4,5,6,행정 절차 간소화가 필요합니다.
6,2026-07-27 17:20:00,창녕군새누리노인종합센터,1,1,창녕군새누리노인종합센터,4,2,5,5,5,3,5,2,3;4;6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
7,2026-04-14 17:00:00,창녕군새누리노인종합센터,4,1,창녕군새누리노인종합센터,5,4,1,2,4,4,4,2,5,현장 의견 반영이 더 필요합니다.
8,2026-05-27 09:15:00,합천노인통합지원센터,5,1,합천노인통합지원센터,4,1,2,4,2,3,3,3,3,실무 매뉴얼 보완이 필요합니다.
9,2026-09-21 11:41:00,합천노인통합지원센터,3,3,합천노인통합지원센터,5,4,1,1,2,1,3,6,2;3;6,지속적인 지원을 부탁드립니다.
10,2026-06-14 09:37:00,합천노인통합지원센터,1,2,합천노인통합지원센터,2,4,3,2,1,2,5,3,1;4;6,교육 주제가 다양해졌으면 합니다.
11,2026-09-21 16:00:00,생명의전화노인통합지원센터,2,3,생명의전화노인통합지원센터,2,4,3,2,3,1,3,3,6,현장 방문 횟수가 늘어나면 좋겠습니다.
12,2026-07-17 10:44:00,생명의전화노인통합지원센터,5,4,생명의전화노인통합지원센터,3,3,1,2,4,3,5,5,1,지속적인 지원을 부탁드립니다.
13,2026-10-16 12:33:00,생명의전화노인통합지원센터,3,3,생명의전화노인통합지원센터,4,4,2,2,2,2,4,1,4;6,실무 매뉴얼 보완이 필요합니다.
14,2026-11-14 13:37:00,통영노인통합지원센터,1,2,통영노인통합지원센터,3,5,3,5,4,2,2,6,3,담당자 응대가 친절하고 도움이 되었습니다.
15,2026-11-13 11:10:00,통영노인통합지원센터,4,2,통영노인통합지원센터,1,4,4,4,1,4,5,5,2;6,지속적인 지원을 부탁드립니다.
16,2026-09-20 11:37:00,통영노인통합지원센터,5,2,통영노인통합지원센터,2,3,5,4,4,5,5,4,2;4;6,지속적인 지원을 부탁드립니다.
17,2026-03-10 10:15:00,진주노인통합지원센터,3,2,진주노인통합지원센터,1,5,3,5,2,1,3,2,1;2;5,담당자 응대가 친절하고 도움이 되었습니다.
18,2026-05-13 09:01:00,진주노인통합지원센터,1,1,진주노인통합지원센터,3,3,1,4,4,2,5,6,1;2;3,현장 의견 반영이 더 필요합니다.
19,2026-04-07 13:07:00,창원도우누리노인통합재가센터,1,2,창원도우누리노인통합재가센터,5,5,4,3,2,5,4,2,5,실무 매뉴얼 보완이 필요합니다.
20,2026-11-14 14:53:00,창원도우누리노인통합재가센터,4,3,창원도우누리노인통합재가센터,2,2,3,1,3,5,2,1,2;3;6,교육 주제가 다양해졌으면 합니다.
21,2026-10-14 15:38:00,거창인애노인통합지원센터,1,3,거창인애노인통합지원센터,5,5,4,2,5,5,1,6,4;5,담당자 응대가 친절하고 도움이 되었습니다.
22,2026-04-16 14:15:00,정현사회적협동조합,1,4,정현사회적협동조합,5,4,4,1,5,4,5,3,2;3,현장 의견 반영이 더 필요합니다.
23,2026-06-26 13:31:00,창녕지역자활센터,3,1,창녕지역자활센터,2,3,2,1,2,4,5,3,1;6,현장 의견 반영이 더 필요합니다.
24,2026-10-16 16:12:00,창녕지역자활센터,2,1,창녕지역자활센터,4,3,1,2,4,1,5,6,1,담당자 응대가 친절하고 도움이 되었습니다.
25,2026-08-27 10:37:00,공덕의집노인통합지원센터,2,4,공덕의집노인통합지원센터,2,2,4,1,2,3,2,3,3;4,행정 절차 간소화가 필요합니다.
26,2026-11-20 09:49:00,공덕의집노인통합지원센터,3,4,공덕의집노인통합지원센터,4,1,4,5,4,2,2,3,1,온라인 교육 병행을 희망합니다.
27,2026-09-11 10:49:00,공덕의집노인통합지원센터,5,1,공덕의집노인통합지원센터,4,1,5,3,1,4,2,6,5,실무 매뉴얼 보완이 필요합니다.
28,2026-04-09 14:24:00,김해시종합사회복지관,2,3,김해시종합사회복지관,1,5,1,5,3,5,1,3,1;5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
29,2026-08-27 16:16:00,김해시종합사회복지관,3,4,김해시종합사회복지관,3,2,5,1,4,1,4,4,1,행정 절차 간소화가 필요합니다.
30,2026-06-27 09:45:00,진양노인통합지원센터,3,3,진양노인통합지원센터,3,1,5,3,1,2,5,6,1;2;6,종사자 처우 개선이 시급합니다.
31,2026-06-19 15:25:00,대한노인회 고성군지회(노인맞춤돌봄서비스),2,1,대한노인회 고성군지회(노인맞춤돌봄서비스),2,5,3,5,5,4,3,6,1;4;6,종사자 처우 개선이 시급합니다.
32,2026-03-05 15:20:00,하늘마음노인통합지원센터,2,3,하늘마음노인통합지원센터,1,4,3,4,5,2,2,6,3,현장 방문 횟수가 늘어나면 좋겠습니다.
33,2026-05-07 09:59:00,하늘마음노인통합지원센터,2,4,하늘마음노인통합지원센터,3,3,1,5,5,1,4,4,5,실무 매뉴얼 보완이 필요합니다.
34,2026-11-16 09:38:00,하늘마음노인통합지원센터,2,1,하늘마음노인통합지원센터,1,5,5,1,5,3,2,1,2,담당자 응대가 친절하고 도움이 되었습니다.
35,2026-09-04 10:21:00,효능원노인통합지원센터,5,3,효능원노인통합지원센터,5,3,5,1,3,2,4,2,6,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
36,2026-04-20 15:02:00,효능원노인통합지원센터,3,4,효능원노인통합지원센터,2,2,1,3,2,5,4,6,4,온라인 교육 병행을 희망합니다.
37,2026-08-23 13:18:00,산청성모노인통합지원센터,4,1,산청성모노인통합지원센터,5,2,2,1,4,1,3,4,1;3;5,교육 주제가 다양해졌으면 합니다.
38,2026-07-14 16:51:00,산청성모노인통합지원센터,4,4,산청성모노인통합지원센터,2,4,2,2,3,5,4,1,1;2,담당자 응대가 친절하고 도움이 되었습니다.
39,2026-09-03 17:19:00,사천노인통합지원센터,1,2,사천노인통합지원센터,3,4,5,4,1,2,4,5,1;3,현장 의견 반영이 더 필요합니다.
40,2026-09-08 09:25:00,사천노인통합지원센터,4,2,사천노인통합지원센터,4,1,3,1,2,5,1,6,1;3;4,실무 매뉴얼 보완이 필요합니다.
41,2026-11-19 10:00:00,사천노인통합지원센터,2,1,사천노인통합지원센터,5,1,2,1,2,1,2,3,1,실무 매뉴얼 보완이 필요합니다.
42,2026-08-06 12:49:00,김해돌봄지원센터,4,3,김해돌봄지원센터,5,4,5,3,2,1,5,6,4,현장 의견 반영이 더 필요합니다.
43,2026-03-20 17:27:00,김해돌봄지원센터,1,2,김해돌봄지원센터,4,3,4,3,3,3,3,6,1;2;3,행정 절차 간소화가 필요합니다.
44,2026-11-20 13:44:00,화방남해노인통합지원센터,3,3,화방남해노인통합지원센터,2,5,1,1,5,1,5,1,4;5;6,지속적인 지원을 부탁드립니다.
45,2026-08-17 12:18:00,화방남해노인통합지원센터,3,3,화방남해노인통합지원센터,4,4,2,2,5,3,2,1,4;5,현장 의견 반영이 더 필요합니다.
46,2026-08-23 15:24:00,화방남해노인통합지원센터,1,2,화방남해노인통합지원센터,4,1,4,2,3,5,4,1,1;3,온라인 교육 병행을 희망합니다.
47,2026-05-25 15:57:00,성요셉소규모노인종합센터,4,1,성요셉소규모노인종합센터,2,2,3,1,3,5,3,1,3,교육 주제가 다양해졌으면 합니다.
48,2026-03-03 16:14:00,성요셉소규모노인종합센터,1,4,성요셉소규모노인종합센터,4,1,3,4,1,3,5,4,1;2;3,담당자 응대가 친절하고 도움이 되었습니다.
49,2026-07-10 10:13:00,성요셉소규모노인종합센터,2,3,성요셉소규모노인종합센터,3,4,5,3,1,4,3,6,1;2;3,지속적인 지원을 부탁드립니다.
50,2026-10-19 09:20:00,하동노인통합지원센터,4,1,하동노인통합지원센터,5,1,5,5,5,4,4,6,4;6,실무 매뉴얼 보완이 필요합니다.
51,2026-06-14 14:24:00,하동노인통합지원센터,1,2,하동노인통합지원센터,2,3,5,4,3,5,4,4,1;3;4,현장 의견 반영이 더 필요합니다.
52,2026-05-08 16:54:00,하동노인통합지원센터,4,1,하동노인통합지원센터,5,3,2,1,1,5,2,2,5,지속적인 지원을 부탁드립니다.
53,2026-10-08 12:12:00,미타재가복지센터,2,4,미타재가복지센터,2,2,2,5,4,3,3,1,5,담당자 응대가 친절하고 도움이 되었습니다.
54,2026-08-08 11:52:00,미타재가복지센터,4,4,미타재가복지센터,4,5,5,2,3,2,4,4,5,담당자 응대가 친절하고 도움이 되었습니다.
55,2026-11-28 14:41:00,거제노인통합지원센터,2,1,거제노인통합지원센터,2,2,2,1,5,1,3,6,1,현장 방문 횟수가 늘어나면 좋겠습니다.
56,2026-06-08 11:33:00,사회복지법인신생원양산재가노인복지센터,3,3,사회복지법인신생원양산재가노인복지센터,2,2,3,4,1,5,5,5,5,현장 의견 반영이 더 필요합니다.
57,2026-10-11 14:55:00,사회복지법인신생원양산재가노인복지센터,1,3,사회복지법인신생원양산재가노인복지센터,3,3,2,4,1,4,3,4,1;5;6,교육 주제가 다양해졌으면 합니다.
58,2026-11-08 10:01:00,사회복지법인신생원양산재가노인복지센터,1,4,사회복지법인신생원양산재가노인복지센터,3,2,2,2,2,4,2,2,4;6,온라인 교육 병행을 희망합니다.
59,2026-06-03 15:56:00,사랑원노인지원센터,5,1,사랑원노인지원센터,4,4,3,4,1,4,1,2,1;2;3,현장 방문 횟수가 늘어나면 좋겠습니다.
60,2026-08-20 14:10:00,밀양시자원봉사단체협의회,5,3,밀양시자원봉사단체협의회,2,3,1,1,4,3,1,2,1;3,현장 방문 횟수가 늘어나면 좋겠습니다.
61,2026-08-17 11:27:00,통영시종합사회복지관,4,4,통영시종합사회복지관,2,3,5,1,4,2,1,1,6,현장 방문 횟수가 늘어나면 좋겠습니다.
62,2026-06-26 17:42:00,통영시종합사회복지관,3,4,통영시종합사회복지관,3,4,1,3,5,4,3,3,2;4;5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
63,2026-06-19 16:47:00,사회적협동조합 합천종합복지공동체,5,3,사회적협동조합 합천종합복지공동체,5,1,3,5,5,4,1,5,3;5;6,현장 의견 반영이 더 필요합니다.
64,2026-07-20 12:09:00,사회적협동조합 합천종합복지공동체,4,4,사회적협동조합 합천종합복지공동체,3,2,2,2,2,5,3,4,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
65,2026-05-23 17:37:00,사회적협동조합 합천종합복지공동체,5,1,사회적협동조합 합천종합복지공동체,1,3,5,3,5,3,2,3,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
66,2026-10-14 11:08:00,우리들노인통합지원센터,2,3,우리들노인통합지원센터,4,3,2,2,3,4,4,6,1;4;6,종사자 처우 개선이 시급합니다.
67,2026-11-05 11:13:00,경남노인통합지원센터,4,4,경남노인통합지원센터,1,3,5,3,1,4,5,1,1;6,교육 주제가 다양해졌으면 합니다.
68,2026-07-19 14:25:00,경남노인통합지원센터,3,4,경남노인통합지원센터,5,5,5,3,4,1,3,5,4;6,실무 매뉴얼 보완이 필요합니다.
69,2026-07-19 15:12:00,경남노인통합지원센터,5,2,경남노인통합지원센터,1,5,4,2,2,4,1,1,1;2;5,현장 방문 횟수가 늘어나면 좋겠습니다.
70,2026-09-13 11:00:00,의령노인통합지원센터,1,4,의령노인통합지원센터,3,3,3,4,5,4,3,3,5;6,현장 방문 횟수가 늘어나면 좋겠습니다.
71,2026-08-25 14:56:00,마산회원노인종합복지관,4,3,마산회원노인종합복지관,1,2,3,4,4,3,1,1,4,종사자 처우 개선이 시급합니다.
72,2026-10-11 17:50:00,마산회원노인종합복지관,4,2,마산회원노인종합복지관,3,1,3,1,4,4,3,3,1;2,담당자 응대가 친절하고 도움이 되었습니다.
73,2026-07-09 10:49:00,해월노인복지센터,5,4,해월노인복지센터,3,1,2,2,2,5,4,5,1;5,교육 주제가 다양해졌으면 합니다.
74,2026-08-27 16:55:00,해월노인복지센터,1,1,해월노인복지센터,4,1,2,4,2,1,5,3,2;6,종사자 처우 개선이 시급합니다.
75,2026-09-02 11:02:00,사천건양주야간보호센터,3,1,사천건양주야간보호센터,5,5,5,2,1,5,3,6,2,행정 절차 간소화가 필요합니다.
76,2026-03-19 15:40:00,사천건양주야간보호센터,1,4,사천건양주야간보호센터,5,4,5,4,2,3,3,2,1;2;3,지속적인 지원을 부탁드립니다.
77,2026-09-20 13:33:00,사천건양주야간보호센터,1,3,사천건양주야간보호센터,3,1,4,2,3,4,4,3,1;3;5,온라인 교육 병행을 희망합니다.
78,2026-06-19 13:43:00,산청한일노인통합지원센터,1,3,산청한일노인통합지원센터,5,5,1,2,4,1,2,6,2;3;6,현장 의견 반영이 더 필요합니다.
79,2026-06-03 14:58:00,산청한일노인통합지원센터,5,2,산청한일노인통합지원센터,3,5,3,5,1,4,2,3,1,교육 주제가 다양해졌으면 합니다.
80,2026-04-19 16:42:00,산청한일노인통합지원센터,4,4,산청한일노인통합지원센터,3,5,4,4,3,5,3,1,1;3;4,행정 절차 간소화가 필요합니다.
81,2026-11-24 11:12:00,양산행복한돌봄 사회적협동조합,1,2,양산행복한돌봄 사회적협동조합,5,3,5,4,5,3,1,5,2;6,교육 주제가 다양해졌으면 합니다.
