응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D2-1_슈퍼비전도움,D2-2_즉각대응충분,D2-3_연계정보충분,D2-4_내년필요지원,D2-5_바라는점
1,2026-04-21 16:17:00,사랑원노인지원센터,5,1,사랑원노인지원센터,4,1,4,1,3,1,2,2,1,종사자 처우 개선이 시급합니다.
2,2026-04-13 17:04:00,사랑원노인지원센터,3,1,사랑원노인지원센터,2,3,3,4,4,1,5,3,5,교육 주제가 다양해졌으면 합니다.
3,2026-10-26 16:18:00,사랑원노인지원센터,1,2,사랑원노인지원센터,5,2,5,4,3,2,2,1,2,현장 방문 횟수가 늘어나면 좋겠습니다.
4,2026-08-24 09:36:00,거창인애노인통합지원센터,5,4,거창인애노인통합지원센터,2,1,5,2,4,4,4,4,1,실무 매뉴얼 보완이 필요합니다.
5,2026-09-14 15:27:00,거창인애노인통합지원센터,1,1,거창인애노인통합지원센터,2,3,4,2,3,2,1,2,2,담당자 응대가 친절하고 도움이 되었습니다.
6,2026-06-09 17:02:00,거창인애노인통합지원센터,1,2,거창인애노인통합지원센터,4,4,5,2,4,4,3,5,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
7,2026-10-20 10:20:00,산청복음노인통합지원센터,2,3,산청복음노인통합지원센터,3,4,1,3,3,1,5,2,2,교육 주제가 다양해졌으면 합니다.
8,2026-08-03 16:19:00,산청복음노인통합지원센터,4,3,산청복음노인통합지원센터,4,3,2,4,1,1,5,4,2,온라인 교육 병행을 희망합니다.
9,2026-09-07 10:36:00,사단법인 대한노인회 함양군지회,5,3,사단법인 대한노인회 함양군지회,4,5,3,3,5,2,2,4,4,현장 방문 횟수가 늘어나면 좋겠습니다.
10,2026-04-10 09:01:00,마산회원노인종합복지관,2,3,마산회원노인종합복지관,1,2,3,3,1,2,3,3,3,종사자 처우 개선이 시급합니다.
11,2026-09-16 11:11:00,마산회원노인종합복지관,5,2,마산회원노인종합복지관,5,1,3,4,2,2,1,3,3,행정 절차 간소화가 필요합니다.
12,2026-04-12 16:18:00,산청한일노인통합지원센터,5,2,산청한일노인통합지원센터,2,3,1,1,3,5,4,5,5,온라인 교육 병행을 희망합니다.
13,2026-08-07 10:08:00,산청한일노인통합지원센터,1,3,산청한일노인통합지원센터,1,5,3,3,2,4,4,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
14,2026-06-02 17:51:00,거창노인통합지원센터,3,1,거창노인통합지원센터,1,1,5,4,2,1,3,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
