응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,D3-1_협력체계지원,D3-2_매뉴얼도움,D3-3_어려운점,D3-4_내년강화지원,D3-5_바라는점
1,2026-07-23 16:04:00,경남노인통합지원센터,5,3,경남노인통합지원센터,3,5,3,1,4,5,5,2,2,현장 의견 반영이 더 필요합니다.
2,2026-07-26 14:46:00,경남노인통합지원센터,2,2,경남노인통합지원센터,2,1,4,4,4,5,1,3,3,현장 방문 횟수가 늘어나면 좋겠습니다.
3,2026-07-15 13:53:00,경남노인통합지원센터,2,4,경남노인통합지원센터,1,1,5,3,3,2,5,1,1,온라인 교육 병행을 희망합니다.
4,2026-09-14 15:21:00,창녕군새누리노인종합센터,1,3,창녕군새누리노인종합센터,2,4,4,1,2,1,5,2,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
5,2026-08-16 17:03:00,창녕군새누리노인종합센터,4,1,창녕군새누리노인종합센터,5,1,2,2,2,1,1,4,4,종사자 처우 개선이 시급합니다.
6,2026-10-01 15:40:00,은빛노인통합지원센터,4,4,은빛노인통합지원센터,2,3,2,2,2,2,4,1,5,지속적인 지원을 부탁드립니다.
7,2026-05-03 11:24:00,은빛노인통합지원센터,5,3,은빛노인통합지원센터,5,3,4,2,4,1,1,3,2,실무 매뉴얼 보완이 필요합니다.
8,2026-07-07 09:02:00,은빛노인통합지원센터,1,2,은빛노인통합지원센터,4,3,2,5,5,5,2,2,1,교육 주제가 다양해졌으면 합니다.
9,2026-07-14 14:38:00,해월노인복지센터,5,4,해월노인복지센터,4,5,2,2,4,5,3,1,4,종사자 처우 개선이 시급합니다.
10,2026-10-14 14:36:00,창녕지역자활센터,1,3,창녕지역자활센터,2,5,2,1,1,1,3,1,4,지속적인 지원을 부탁드립니다.
11,2026-09-13 13:11:00,화방재가복지센터,4,4,화방재가복지센터,2,3,1,2,4,2,3,3,3,교육 주제가 다양해졌으면 합니다.
12,2026-10-27 14:43:00,플러스희망 사회적협동조합,4,3,플러스희망 사회적협동조합,4,5,4,4,3,5,4,5,3,실무 매뉴얼 보완이 필요합니다.
13,2026-05-06 13:52:00,함안군재가노인통합지원센터,5,3,함안군재가노인통합지원센터,3,1,1,3,4,2,3,1,4,실무 매뉴얼 보완이 필요합니다.
