응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,E1-1_기기적절성,E1-2_AS교체신속,E1-3_내년필요항목,E1-4_어려운점,E1-5_바라는점
1,2026-11-11 15:25:00,진해노인종합복지관,3,2,진해노인종합복지관,1,1,4,3,3,4,2,2,5,종사자 처우 개선이 시급합니다.
2,2026-10-17 17:59:00,진해노인종합복지관,5,4,진해노인종합복지관,4,3,4,5,5,2,1,2,4,현장 의견 반영이 더 필요합니다.
3,2026-09-21 11:56:00,진해노인종합복지관,2,1,진해노인종합복지관,1,1,2,5,4,1,3,4,5,행정 절차 간소화가 필요합니다.
4,2026-10-03 09:13:00,효능원노인통합지원센터,5,1,효능원노인통합지원센터,2,3,1,3,5,5,3,2,5,담당자 응대가 친절하고 도움이 되었습니다.
5,2026-07-10 10:37:00,효능원노인통합지원센터,1,3,효능원노인통합지원센터,4,5,1,3,2,3,4,2,5,교육 주제가 다양해졌으면 합니다.
6,2026-08-03 15:30:00,효능원노인통합지원센터,2,1,효능원노인통합지원센터,5,3,2,2,4,4,1,5,3,종사자 처우 개선이 시급합니다.
7,2026-09-27 17:47:00,명진노인통합지원센터,4,3,명진노인통합지원센터,4,2,5,2,3,5,2,2,5,담당자 응대가 친절하고 도움이 되었습니다.
8,2026-11-01 10:33:00,명진노인통합지원센터,2,2,명진노인통합지원센터,2,3,2,1,4,5,5,3,4,종사자 처우 개선이 시급합니다.
9,2026-07-22 15:31:00,명진노인통합지원센터,4,4,명진노인통합지원센터,5,1,5,4,3,3,5,2,4,행정 절차 간소화가 필요합니다.
10,2026-07-19 14:53:00,나누리노인통합지원센터,5,4,나누리노인통합지원센터,3,2,1,2,3,2,1,4,3,지속적인 지원을 부탁드립니다.
11,2026-08-20 11:59:00,나누리노인통합지원센터,5,4,나누리노인통합지원센터,3,5,4,3,1,1,3,5,4,담당자 응대가 친절하고 도움이 되었습니다.
12,2026-09-15 14:48:00,나누리노인통합지원센터,1,1,나누리노인통합지원센터,5,5,4,4,3,3,2,3,5,현장 방문 횟수가 늘어나면 좋겠습니다.
13,2026-08-03 14:49:00,산청해민노인통합지원센터,4,3,산청해민노인통합지원센터,1,5,4,4,5,5,4,2,1,현장 의견 반영이 더 필요합니다.
14,2026-06-12 17:52:00,산청해민노인통합지원센터,2,1,산청해민노인통합지원센터,1,4,2,1,1,3,5,4,2,담당자 응대가 친절하고 도움이 되었습니다.
15,2026-05-05 17:17:00,거제사랑노인복지센터,5,2,거제사랑노인복지센터,3,5,2,4,4,4,5,1,5,종사자 처우 개선이 시급합니다.
16,2026-07-14 09:05:00,거제사랑노인복지센터,5,1,거제사랑노인복지센터,3,1,2,2,3,5,1,1,3,교육 주제가 다양해졌으면 합니다.
17,2026-06-12 17:25:00,경남하동지역자활센터,4,4,경남하동지역자활센터,1,3,3,3,3,4,1,3,2,실무 매뉴얼 보완이 필요합니다.
18,2026-05-13 09:39:00,경남하동지역자활센터,4,4,경남하동지역자활센터,3,4,2,4,2,1,3,2,4,행정 절차 간소화가 필요합니다.
