응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,E2-1_연계지원충분,E2-2_절차가이드도움,E2-3_어려운점,E2-4_내년강화지원,E2-5_바라는점
1,2026-07-23 12:43:00,하늘마음노인통합지원센터,1,4,하늘마음노인통합지원센터,5,3,2,2,3,4,5,4,3,담당자 응대가 친절하고 도움이 되었습니다.
2,2026-07-03 11:32:00,하늘마음노인통합지원센터,3,2,하늘마음노인통합지원센터,4,1,1,4,3,3,5,5,3,행정 절차 간소화가 필요합니다.
3,2026-11-16 14:15:00,하늘마음노인통합지원센터,1,1,하늘마음노인통합지원센터,5,5,1,3,2,3,3,3,2,종사자 처우 개선이 시급합니다.
4,2026-08-08 16:26:00,동진노인통합지원센터,3,2,동진노인통합지원센터,3,3,1,4,5,4,5,5,4,종사자 처우 개선이 시급합니다.
5,2026-03-22 11:02:00,산청성모노인통합지원센터,2,2,산청성모노인통합지원센터,2,1,2,1,4,1,1,5,3,종사자 처우 개선이 시급합니다.
6,2026-09-14 12:37:00,산청성모노인통합지원센터,5,2,산청성모노인통합지원센터,5,4,5,5,4,2,5,4,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
7,2026-05-26 13:36:00,생명의전화노인통합지원센터,3,4,생명의전화노인통합지원센터,2,5,1,4,5,4,3,3,1,현장 방문 횟수가 늘어나면 좋겠습니다.
8,2026-03-08 12:48:00,생명의전화노인통합지원센터,2,1,생명의전화노인통합지원센터,4,1,1,3,1,1,2,5,4,행정 절차 간소화가 필요합니다.
9,2026-04-05 09:09:00,미타재가복지센터,2,1,미타재가복지센터,1,4,3,3,3,3,1,4,3,종사자 처우 개선이 시급합니다.
10,2026-10-20 11:42:00,미타재가복지센터,1,1,미타재가복지센터,3,4,4,2,4,3,1,1,3,담당자 응대가 친절하고 도움이 되었습니다.
11,2026-10-09 13:10:00,경남노인통합지원센터,1,2,경남노인통합지원센터,4,1,4,5,3,3,5,2,2,현장 의견 반영이 더 필요합니다.
12,2026-08-17 16:09:00,경남노인통합지원센터,2,2,경남노인통합지원센터,4,5,1,4,1,1,3,3,4,실무 매뉴얼 보완이 필요합니다.
13,2026-06-05 15:31:00,하동노인통합지원센터,1,3,하동노인통합지원센터,5,3,5,1,5,4,1,1,3,현장 의견 반영이 더 필요합니다.
