응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,E3-1_홍보물도움,E3-2_광역지원충분,E3-3_효과적채널,E3-4_내년집중채널,E3-5_바라는점
1,2026-07-11 16:08:00,사천노인통합지원센터,2,4,사천노인통합지원센터,3,4,5,3,1,4,3,1,2,교육 주제가 다양해졌으면 합니다.
2,2026-10-09 13:39:00,사천노인통합지원센터,5,4,사천노인통합지원센터,1,5,2,2,5,1,2,4,5,행정 절차 간소화가 필요합니다.
3,2026-05-27 15:19:00,명진노인통합지원센터,1,1,명진노인통합지원센터,4,1,2,2,4,4,3,2,1,종사자 처우 개선이 시급합니다.
4,2026-08-16 15:15:00,대한노인회 고성군지회(노인맞춤돌봄서비스),1,1,대한노인회 고성군지회(노인맞춤돌봄서비스),1,1,5,5,4,3,3,4,1,담당자 응대가 친절하고 도움이 되었습니다.
5,2026-06-13 09:24:00,양산행복한돌봄 사회적협동조합,3,1,양산행복한돌봄 사회적협동조합,1,3,4,3,5,4,4,5,3,종사자 처우 개선이 시급합니다.
6,2026-09-25 17:37:00,양산행복한돌봄 사회적협동조합,3,3,양산행복한돌봄 사회적협동조합,5,1,4,1,2,4,1,1,1,온라인 교육 병행을 희망합니다.
7,2026-03-25 10:28:00,창녕군새누리노인종합센터,4,2,창녕군새누리노인종합센터,4,3,5,3,5,2,2,1,4,종사자 처우 개선이 시급합니다.
8,2026-04-04 10:28:00,창녕군새누리노인종합센터,1,4,창녕군새누리노인종합센터,1,1,3,5,1,2,1,3,3,행정 절차 간소화가 필요합니다.
9,2026-08-11 15:28:00,경남노인통합지원센터,3,2,경남노인통합지원센터,2,2,5,3,5,4,3,3,2,교육 주제가 다양해졌으면 합니다.
10,2026-04-16 09:52:00,거제노인통합지원센터,2,2,거제노인통합지원센터,3,2,1,1,3,5,5,5,2,현장 방문 횟수가 늘어나면 좋겠습니다.
11,2026-09-12 12:46:00,거제노인통합지원센터,4,1,거제노인통합지원센터,5,4,4,2,1,4,2,5,3,현장 방문 횟수가 늘어나면 좋겠습니다.
