응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,F1-1_홍보효과,F1-2_지원충분성,F1-3_효과적채널,F1-4_내년필요지원,F1-5_바라는점
1,2026-09-02 09:33:00,산청복음노인통합지원센터,2,2,산청복음노인통합지원센터,4,5,4,2,4,5,1,2,2,담당자 응대가 친절하고 도움이 되었습니다.
2,2026-03-19 16:23:00,산청복음노인통합지원센터,3,1,산청복음노인통합지원센터,4,1,4,5,1,4,4,1,1,지속적인 지원을 부탁드립니다.
3,2026-04-06 09:03:00,산청복음노인통합지원센터,2,2,산청복음노인통합지원센터,3,3,5,1,4,4,5,4,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
4,2026-05-24 10:35:00,우리들노인통합지원센터,2,2,우리들노인통합지원센터,2,5,1,5,2,5,4,5,2,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
5,2026-03-28 14:14:00,우리들노인통합지원센터,1,4,우리들노인통합지원센터,1,2,2,4,1,1,5,2,2,종사자 처우 개선이 시급합니다.
6,2026-10-15 13:11:00,코끼리행복복지센터,4,1,코끼리행복복지센터,3,3,5,5,3,4,5,5,4,담당자 응대가 친절하고 도움이 되었습니다.
7,2026-05-02 15:12:00,산청성모노인통합지원센터,2,2,산청성모노인통합지원센터,5,1,1,2,4,5,5,1,3,행정 절차 간소화가 필요합니다.
8,2026-09-23 15:23:00,산청성모노인통합지원센터,5,3,산청성모노인통합지원센터,2,3,4,4,1,5,4,1,4,행정 절차 간소화가 필요합니다.
9,2026-10-05 13:58:00,산청성모노인통합지원센터,3,2,산청성모노인통합지원센터,3,4,2,4,5,4,3,4,4,종사자 처우 개선이 시급합니다.
10,2026-07-01 16:00:00,하늘마음노인통합지원센터,5,3,하늘마음노인통합지원센터,4,3,4,4,4,1,4,1,2,실무 매뉴얼 보완이 필요합니다.
11,2026-11-17 16:58:00,하늘마음노인통합지원센터,2,3,하늘마음노인통합지원센터,2,4,5,1,5,2,5,2,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
12,2026-09-09 10:28:00,하늘마음노인통합지원센터,1,1,하늘마음노인통합지원센터,3,2,4,1,5,4,1,3,4,현장 방문 횟수가 늘어나면 좋겠습니다.
13,2026-11-01 12:04:00,진해서부노인종합복지관,4,4,진해서부노인종합복지관,3,4,5,3,1,2,4,5,5,교육 주제가 다양해졌으면 합니다.
14,2026-04-06 13:08:00,진해서부노인종합복지관,5,3,진해서부노인종합복지관,2,3,3,1,4,1,1,5,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
15,2026-11-22 13:35:00,진해서부노인종합복지관,1,4,진해서부노인종합복지관,1,1,4,1,5,4,4,1,3,담당자 응대가 친절하고 도움이 되었습니다.
16,2026-10-15 10:46:00,사천건양주야간보호센터,1,4,사천건양주야간보호센터,3,1,3,2,2,4,5,5,3,온라인 교육 병행을 희망합니다.
17,2026-09-15 11:41:00,화방재가복지센터,3,4,화방재가복지센터,1,1,3,1,1,1,5,1,1,온라인 교육 병행을 희망합니다.
18,2026-03-27 10:31:00,화방재가복지센터,5,3,화방재가복지센터,1,2,1,3,1,2,3,3,5,온라인 교육 병행을 희망합니다.
19,2026-05-22 12:45:00,화방재가복지센터,5,2,화방재가복지센터,1,1,1,2,5,4,3,5,5,온라인 교육 병행을 희망합니다.
20,2026-10-22 14:40:00,경남노인통합지원센터,2,4,경남노인통합지원센터,3,5,4,3,3,2,3,2,4,실무 매뉴얼 보완이 필요합니다.
21,2026-07-22 11:03:00,경남노인통합지원센터,3,1,경남노인통합지원센터,4,3,1,3,2,4,3,1,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
22,2026-06-15 12:55:00,거제노인통합지원센터,4,4,거제노인통합지원센터,4,5,5,4,4,5,1,4,1,종사자 처우 개선이 시급합니다.
23,2026-08-16 10:51:00,밀양시자원봉사단체협의회,4,3,밀양시자원봉사단체협의회,5,1,3,5,3,5,4,5,5,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
24,2026-07-09 09:32:00,밀양시자원봉사단체협의회,1,2,밀양시자원봉사단체협의회,3,5,4,2,3,1,3,4,3,행정 절차 간소화가 필요합니다.
25,2026-03-19 17:27:00,산청한일노인통합지원센터,2,2,산청한일노인통합지원센터,3,3,2,3,2,4,5,1,1,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
26,2026-04-23 09:58:00,산청한일노인통합지원센터,5,3,산청한일노인통합지원센터,1,5,3,4,4,5,5,5,3,실무 매뉴얼 보완이 필요합니다.
27,2026-05-03 12:22:00,마산회원노인종합복지관,5,4,마산회원노인종합복지관,1,5,2,1,4,2,3,5,1,현장 의견 반영이 더 필요합니다.
28,2026-05-22 15:16:00,사천노인통합지원센터,2,3,사천노인통합지원센터,5,4,2,1,3,3,3,5,2,실무 매뉴얼 보완이 필요합니다.
29,2026-10-26 17:55:00,남양양로원,1,2,남양양로원,1,3,4,3,5,5,3,4,3,현장 방문 횟수가 늘어나면 좋겠습니다.
30,2026-03-10 11:37:00,남양양로원,2,4,남양양로원,1,4,5,3,4,2,1,3,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
31,2026-10-06 16:21:00,남양양로원,5,1,남양양로원,3,3,2,5,2,4,4,4,5,종사자 처우 개선이 시급합니다.
32,2026-10-19 17:33:00,창녕군새누리노인종합센터,4,4,창녕군새누리노인종합센터,3,3,3,3,5,3,4,3,1,교육 주제가 다양해졌으면 합니다.
33,2026-07-01 10:58:00,창녕군새누리노인종합센터,5,2,창녕군새누리노인종합센터,5,2,4,1,3,5,4,2,4,지속적인 지원을 부탁드립니다.
34,2026-04-23 12:16:00,창녕군새누리노인종합센터,4,2,창녕군새누리노인종합센터,5,5,1,1,2,3,5,3,3,온라인 교육 병행을 희망합니다.
35,2026-06-14 14:26:00,함안군재가노인통합지원센터,1,1,함안군재가노인통합지원센터,3,4,5,4,2,2,2,1,4,현장 의견 반영이 더 필요합니다.
36,2026-09-11 13:33:00,함안군재가노인통합지원센터,1,3,함안군재가노인통합지원센터,2,1,4,1,2,2,4,3,2,교육 주제가 다양해졌으면 합니다.
37,2026-03-07 16:43:00,함안군재가노인통합지원센터,2,4,함안군재가노인통합지원센터,1,5,4,2,3,3,4,3,4,교육 주제가 다양해졌으면 합니다.
38,2026-04-05 10:13:00,은빛노인통합지원센터,5,1,은빛노인통합지원센터,4,5,2,5,4,5,1,4,4,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
39,2026-07-12 17:21:00,사회적협동조합 노인세상,5,4,사회적협동조합 노인세상,4,2,3,4,3,3,1,5,1,담당자 응대가 친절하고 도움이 되었습니다.
40,2026-11-22 17:11:00,사회적협동조합 노인세상,3,2,사회적협동조합 노인세상,1,2,5,5,4,4,5,1,3,실무 매뉴얼 보완이 필요합니다.
41,2026-09-19 17:48:00,미타재가복지센터,3,2,미타재가복지센터,5,5,2,5,3,4,1,3,2,현장 의견 반영이 더 필요합니다.
42,2026-06-03 12:53:00,미타재가복지센터,2,4,미타재가복지센터,1,2,2,2,1,2,4,4,5,현장 방문 횟수가 늘어나면 좋겠습니다.
43,2026-05-26 16:59:00,김해돌봄지원센터,4,4,김해돌봄지원센터,2,4,5,3,2,4,2,5,4,현장 방문 횟수가 늘어나면 좋겠습니다.
44,2026-03-24 12:09:00,김해돌봄지원센터,1,4,김해돌봄지원센터,4,5,2,3,4,1,1,4,2,종사자 처우 개선이 시급합니다.
45,2026-06-09 14:52:00,하동노인통합지원센터,3,4,하동노인통합지원센터,2,3,4,2,2,2,4,4,1,현장 의견 반영이 더 필요합니다.
46,2026-08-07 14:33:00,사회복지법인신생원양산재가노인복지센터,3,4,사회복지법인신생원양산재가노인복지센터,2,1,2,4,2,2,2,5,3,온라인 교육 병행을 희망합니다.
47,2026-03-10 11:50:00,사회복지법인신생원양산재가노인복지센터,3,1,사회복지법인신생원양산재가노인복지센터,2,3,3,3,3,4,5,5,2,실무 매뉴얼 보완이 필요합니다.
48,2026-10-21 09:18:00,통영노인통합지원센터,1,1,통영노인통합지원센터,4,4,5,5,1,3,5,4,3,현장 방문 횟수가 늘어나면 좋겠습니다.
49,2026-10-08 17:25:00,통영노인통합지원센터,3,4,통영노인통합지원센터,5,1,3,3,5,3,4,4,2,교육 주제가 다양해졌으면 합니다.
50,2026-05-20 10:44:00,진양노인통합지원센터,2,3,진양노인통합지원센터,5,5,3,3,5,4,4,1,1,현장 방문 횟수가 늘어나면 좋겠습니다.
51,2026-06-22 13:20:00,공덕의집노인통합지원센터,5,3,공덕의집노인통합지원센터,2,4,3,1,4,4,1,5,5,지속적인 지원을 부탁드립니다.
52,2026-03-03 11:45:00,나누리노인통합지원센터,1,2,나누리노인통합지원센터,2,5,5,1,1,2,5,4,1,현장 방문 횟수가 늘어나면 좋겠습니다.
53,2026-11-08 12:22:00,사랑원노인지원센터,4,1,사랑원노인지원센터,3,5,1,1,5,1,1,3,2,교육 주제가 다양해졌으면 합니다.
54,2026-07-27 12:20:00,성요셉소규모노인종합센터,4,4,성요셉소규모노인종합센터,1,2,4,4,2,5,4,1,3,현장 방문 횟수가 늘어나면 좋겠습니다.
55,2026-08-20 15:42:00,성요셉소규모노인종합센터,5,3,성요셉소규모노인종합센터,4,5,3,3,4,3,5,3,5,실무 매뉴얼 보완이 필요합니다.
56,2026-08-01 14:20:00,산청해민노인통합지원센터,2,4,산청해민노인통합지원센터,2,5,1,4,1,3,5,3,3,사전 안내를 좀 더 일찍 해주시면 좋겠습니다.
57,2026-11-08 14:10:00,산청해민노인통합지원센터,3,2,산청해민노인통합지원센터,3,2,1,4,5,5,2,1,4,지속적인 지원을 부탁드립니다.
58,2026-04-20 11:05:00,해월노인복지센터,3,3,해월노인복지센터,4,3,3,3,2,1,2,1,2,온라인 교육 병행을 희망합니다.
