응답번호,제출시간,기관명,도입-1_연령대,도입-2_경력,도입-3_소속기관명,공통1_사전안내,공통2_체계적운영,공통3_담당자전문성,공통4_업무도움,공통5_종합만족도,F3-1_처우개선도움,F3-2_폭언대응지원,F3-3_도움된지원,F3-4_내년필요지원(복수),F3-5_바라는점
1,2026-09-27 16:01:00,거제노인통합지원센터,1,1,거제노인통합지원센터,1,2,3,2,3,3,5,5,3;5,지속적인 지원을 부탁드립니다.
2,2026-09-21 10:46:00,경남하동지역자활센터,5,1,경남하동지역자활센터,4,5,4,1,2,1,3,5,2;3;4,교육 주제가 다양해졌으면 합니다.
3,2026-10-14 12:32:00,경남하동지역자활센터,2,4,경남하동지역자활센터,3,5,1,2,2,1,2,2,2,실무 매뉴얼 보완이 필요합니다.
4,2026-08-09 17:02:00,경남하동지역자활센터,4,1,경남하동지역자활센터,3,4,2,1,3,5,2,4,3;4;6,온라인 교육 병행을 희망합니다.
5,2026-10-09 09:29:00,산청복음노인통합지원센터,1,2,산청복음노인통합지원센터,4,4,4,3,4,1,1,4,2;6,담당자 응대가 친절하고 도움이 되었습니다.
6,2026-11-28 11:07:00,산청복음노인통합지원센터,2,2,산청복음노인통합지원센터,1,5,2,5,4,5,2,4,2;3;4,현장 방문 횟수가 늘어나면 좋겠습니다.
7,2026-07-23 12:38:00,산청복음노인통합지원센터,2,2,산청복음노인통합지원센터,1,3,3,5,4,5,2,1,4;6,현장 의견 반영이 더 필요합니다.
8,2026-11-12 12:06:00,거창인애노인통합지원센터,2,2,거창인애노인통합지원센터,3,3,2,3,5,3,5,5,1,종사자 처우 개선이 시급합니다.
9,2026-07-28 15:22:00,거창인애노인통합지원센터,1,2,거창인애노인통합지원센터,3,2,1,1,4,2,4,5,1;4;6,행정 절차 간소화가 필요합니다.
10,2026-06-26 15:16:00,밀양노인통합지원센터,5,1,밀양노인통합지원센터,1,4,3,5,3,3,5,3,1;2;3,실무 매뉴얼 보완이 필요합니다.
11,2026-06-16 12:58:00,밀양노인통합지원센터,1,2,밀양노인통합지원센터,4,2,4,3,5,4,2,4,4;6,종사자 처우 개선이 시급합니다.
12,2026-10-16 16:23:00,밀양노인통합지원센터,5,2,밀양노인통합지원센터,3,5,4,1,2,3,1,4,1;5,실무 매뉴얼 보완이 필요합니다.
13,2026-06-25 17:01:00,우리들노인통합지원센터,5,3,우리들노인통합지원센터,2,4,4,2,2,2,5,5,6,온라인 교육 병행을 희망합니다.
